Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,url
134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5.3k,https://www.coursera.org/
743,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17k,https://www.coursera.org/
874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130k,https://www.coursera.org/
413,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91k,https://www.coursera.org/
635,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320k,https://www.coursera.org/
661,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39k,https://www.coursera.org/
54,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350k,https://www.coursera.org/
488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2.4k,https://www.coursera.org/
58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61k,https://www.coursera.org/
129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12k,https://www.coursera.org/
283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4k,https://www.coursera.org/
35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k,https://www.coursera.org/
43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k,https://www.coursera.org/
631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11k,https://www.coursera.org/
861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27k,https://www.coursera.org/
281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110k,https://www.coursera.org/
828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13k,https://www.coursera.org/
819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6.6k,https://www.coursera.org/
63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540k,https://www.coursera.org/
142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22k,https://www.coursera.org/
612,Access Controls,(ISC)²,COURSE,4.6,Beginner,2.9k,https://www.coursera.org/
604,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80k,https://www.coursera.org/
727,Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9.9k,https://www.coursera.org/
51,Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110k,https://www.coursera.org/
838,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23k,https://www.coursera.org/
330,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9.2k,https://www.coursera.org/
247,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78k,https://www.coursera.org/
157,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320k,https://www.coursera.org/
103,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190k,https://www.coursera.org/
324,Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35k,https://www.coursera.org/
266,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29k,https://www.coursera.org/
825,Advertising and Society,Duke University,COURSE,4.8,Mixed,14k,https://www.coursera.org/
853,Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21k,https://www.coursera.org/
75,Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94k,https://www.coursera.org/
482,Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69k,https://www.coursera.org/
212,Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40k,https://www.coursera.org/
846,Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12k,https://www.coursera.org/
561,Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220k,https://www.coursera.org/
78,Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150k,https://www.coursera.org/
242,Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14k,https://www.coursera.org/
322,American Contract Law I,Yale University,COURSE,4.9,Beginner,18k,https://www.coursera.org/
159,An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23k,https://www.coursera.org/
265,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69k,https://www.coursera.org/
151,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270k,https://www.coursera.org/
752,Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7.9k,https://www.coursera.org/
119,Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30k,https://www.coursera.org/
302,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36k,https://www.coursera.org/
508,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20k,https://www.coursera.org/
797,Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8.1k,https://www.coursera.org/
390,Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120k,https://www.coursera.org/
201,Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71k,https://www.coursera.org/
663,Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11k,https://www.coursera.org/
514,Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11k,https://www.coursera.org/
799,Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63k,https://www.coursera.org/
8,Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220k,https://www.coursera.org/
637,Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42k,https://www.coursera.org/
26,Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480k,https://www.coursera.org/
630,Applied Machine Learning in Python,University of Michigan,COURSE,4.6,Intermediate,150k,https://www.coursera.org/
491,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,97k,https://www.coursera.org/
888,Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,Beginner,6.6k,https://www.coursera.org/
512,Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,200k,https://www.coursera.org/
551,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,Beginner,180k,https://www.coursera.org/
437,Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4.2k,https://www.coursera.org/
10,Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310k,https://www.coursera.org/
573,Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3.9k,https://www.coursera.org/
56,Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150k,https://www.coursera.org/
479,Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Mixed,79k,https://www.coursera.org/
452,Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31k,https://www.coursera.org/
651,Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Mixed,15k,https://www.coursera.org/
326,Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,15k,https://www.coursera.org/
877,Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10k,https://www.coursera.org/
753,Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66k,https://www.coursera.org/
782,Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33k,https://www.coursera.org/
210,Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56k,https://www.coursera.org/
885,Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7.3k,https://www.coursera.org/
